"","Compound.Name","Note","type","SampID","replicate","FinalBMIS","BMISdArea","DatOrg","Flu","RF","cell/mL","BMISd_Normed"
"175","Choline",NA,"Smp","LB12LL","AB","AreatoBMIS",409258900,"HILIC_Dil",57.4,753.7,43262.38,9459.92569063468
"176","Choline",NA,"Smp","LB12LL","CD","AreatoBMIS",285979200,"HILIC_Dil",50.3,753.7,37911.11,7543.41405461354
"177","Choline",NA,"Smp","LB12LL","EF","AreatoBMIS",553286100,"HILIC_Dil",58.5,753.7,44091.45,12548.6029604379
"178","Choline",NA,"Smp","RB12LL","AB","AreatoBMIS",3660954200,"HILIC_Dil",215.5,753.7,162422.35,22539.7194413207
"179","Choline",NA,"Smp","RB12LL","CD","AreatoBMIS",2582554600,"HILIC_Dil",201.7,753.7,152021.29,16988.1113362477
"180","Choline",NA,"Smp","RB12LL","EF","AreatoBMIS",3262201800,"HILIC_Dil",255.4,753.7,192494.98,16946.9447982488
"181","Asparagine",NA,"Smp","LB12HL","AB","AreatoBMIS",10831964,"HILIC_FS",60.9,753.7,45900.33,235.988804437789
"182","Asparagine",NA,"Smp","LB12HL","CD","AreatoBMIS",10379884,"HILIC_FS",65.1,753.7,49065.87,211.549983725959
"183","Asparagine",NA,"Smp","LB12HL","EF","AreatoBMIS",10802864,"HILIC_FS",67.8,753.7,51100.86,211.402782653756
"184","Asparagine",NA,"Smp","RB12HL","AB","AreatoBMIS",18096899,"HILIC_FS",227.3,753.7,171316.01,105.63460472842
"185","Asparagine",NA,"Smp","RB12HL","CD","AreatoBMIS",19312131,"HILIC_FS",196.2,753.7,147875.94,130.596843543311
